Id,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
FJI,Fiji,1483,1452,1208,1095,1593,1422,2115,1637,1176,1194,1201,1041,853,895,802,875,866
FIN,Finland,377,497,426,241,388,574,542,426,302,423,397,363,348,331,350,407,489
CSK,Former Czechoslovakia,665,863,897,543,673,784,1442,927,862,865,750,466,159,74,74,58,62
SUN,Former USSR,3263,2707,2403,1072,929,2899,6229,5090,5270,5911,4978,3687,1296,1264,1136,1022,1042
YUC,Former Yugoslavia,0,0,0,0,0,0,0,0,0,0,355,670,782,839,758,814,1020
FRA,France,3542,4702,3877,2442,3688,4496,4357,3494,4935,4569,3919,3653,3862,4425,4284,4693,5159
GAB,Gabon,18,32,41,40,50,66,85,95,82,171,138,204,197,127,167,146,165
GMB,Gambia,231,390,343,263,422,581,897,826,739,978,859,972,1159,1018,1111,1142,1247
GEO,Georgia,493,786,886,735,964,1389,2003,1554,1620,1578,1518,1490,1341,1368,1240,1410,1635
DEU,Germany,7565,9790,8888,5064,7099,9264,8436,7582,7091,7583,6888,6125,5812,6032,5584,5436,5306
GHA,Ghana,4339,4023,4248,4410,5337,6491,9367,7610,8195,8401,7429,8798,10592,10265,7115,6186,6949
GRC,Greece,950,1155,1009,651,769,1070,1124,882,769,798,745,949,1054,1361,1235,1211,1451
GRD,Grenada,655,645,634,481,609,840,1068,751,784,748,664,579,671,687,633,525,585
GTM,Guatemala,9942,13496,16178,14386,18920,16818,24133,17908,16182,12187,10467,11092,10341,10224,10238,11773,13002
GIN,Guinea,3,11,16,29,347,495,1110,1088,1735,1725,1379,1555,1656,1518,1375,1389,1501
GNB,Guinea-Bissau,204,273,289,176,5,26,25,25,17,20,30,29,47,43,30,39,37
GUY,Guyana,5719,8279,9938,6809,6351,9317,9552,5726,6823,6670,6749,6599,5683,5897,6267,5543,5771
HTI,Haiti,22337,27031,20213,12293,14191,14524,22226,30405,26007,24280,22582,22111,22818,20351,15274,16967,23584
HND,Honduras,5917,6571,6435,4645,5508,7012,8177,7646,6540,6404,6448,6133,6884,8898,8156,9274,13302
